EfficientNet-B4 Model Parameter Summary
Input resolution: 380x380, Classes: 8, Meta features: 15
Generated by model_summary.py

==============================================================================================================
  Variant 1 — Transfer learning, no MetaBlock, 8 classes
==============================================================================================================
Layer                                                        Output Shape                  Params  Trainable
--------------------------------------------------------------------------------------------------------------
model.features.0.0                                           (1, 48, 190, 190)              1,296      1,296
model.features.0.1                                           (1, 48, 190, 190)                 96         96
model.features.0.2                                           (1, 48, 190, 190)                  0          0
model.features.1.0.block.0.0                                 (1, 48, 190, 190)                432        432
model.features.1.0.block.0.1                                 (1, 48, 190, 190)                 96         96
model.features.1.0.block.0.2                                 (1, 48, 190, 190)                  0          0
model.features.1.0.block.1.avgpool                           (1, 48, 1, 1)                      0          0
model.features.1.0.block.1.fc1                               (1, 12, 1, 1)                    588        588
model.features.1.0.block.1.activation                        (1, 12, 1, 1)                      0          0
model.features.1.0.block.1.fc2                               (1, 48, 1, 1)                    624        624
model.features.1.0.block.1.scale_activation                  (1, 48, 1, 1)                      0          0
model.features.1.0.block.2.0                                 (1, 24, 190, 190)              1,152      1,152
model.features.1.0.block.2.1                                 (1, 24, 190, 190)                 48         48
model.features.1.1.block.0.0                                 (1, 24, 190, 190)                216        216
model.features.1.1.block.0.1                                 (1, 24, 190, 190)                 48         48
model.features.1.1.block.0.2                                 (1, 24, 190, 190)                  0          0
model.features.1.1.block.1.avgpool                           (1, 24, 1, 1)                      0          0
model.features.1.1.block.1.fc1                               (1, 6, 1, 1)                     150        150
model.features.1.1.block.1.activation                        (1, 6, 1, 1)                       0          0
model.features.1.1.block.1.fc2                               (1, 24, 1, 1)                    168        168
model.features.1.1.block.1.scale_activation                  (1, 24, 1, 1)                      0          0
model.features.1.1.block.2.0                                 (1, 24, 190, 190)                576        576
model.features.1.1.block.2.1                                 (1, 24, 190, 190)                 48         48
model.features.1.1.stochastic_depth                          (1, 24, 190, 190)                  0          0
model.features.2.0.block.0.0                                 (1, 144, 190, 190)             3,456      3,456
model.features.2.0.block.0.1                                 (1, 144, 190, 190)               288        288
model.features.2.0.block.0.2                                 (1, 144, 190, 190)                 0          0
model.features.2.0.block.1.0                                 (1, 144, 95, 95)               1,296      1,296
model.features.2.0.block.1.1                                 (1, 144, 95, 95)                 288        288
model.features.2.0.block.1.2                                 (1, 144, 95, 95)                   0          0
model.features.2.0.block.2.avgpool                           (1, 144, 1, 1)                     0          0
model.features.2.0.block.2.fc1                               (1, 6, 1, 1)                     870        870
model.features.2.0.block.2.activation                        (1, 6, 1, 1)                       0          0
model.features.2.0.block.2.fc2                               (1, 144, 1, 1)                 1,008      1,008
model.features.2.0.block.2.scale_activation                  (1, 144, 1, 1)                     0          0
model.features.2.0.block.3.0                                 (1, 32, 95, 95)                4,608      4,608
model.features.2.0.block.3.1                                 (1, 32, 95, 95)                   64         64
model.features.2.1.block.0.0                                 (1, 192, 95, 95)               6,144      6,144
model.features.2.1.block.0.1                                 (1, 192, 95, 95)                 384        384
model.features.2.1.block.0.2                                 (1, 192, 95, 95)                   0          0
model.features.2.1.block.1.0                                 (1, 192, 95, 95)               1,728      1,728
model.features.2.1.block.1.1                                 (1, 192, 95, 95)                 384        384
model.features.2.1.block.1.2                                 (1, 192, 95, 95)                   0          0
model.features.2.1.block.2.avgpool                           (1, 192, 1, 1)                     0          0
model.features.2.1.block.2.fc1                               (1, 8, 1, 1)                   1,544      1,544
model.features.2.1.block.2.activation                        (1, 8, 1, 1)                       0          0
model.features.2.1.block.2.fc2                               (1, 192, 1, 1)                 1,728      1,728
model.features.2.1.block.2.scale_activation                  (1, 192, 1, 1)                     0          0
model.features.2.1.block.3.0                                 (1, 32, 95, 95)                6,144      6,144
model.features.2.1.block.3.1                                 (1, 32, 95, 95)                   64         64
model.features.2.1.stochastic_depth                          (1, 32, 95, 95)                    0          0
model.features.2.2.block.0.0                                 (1, 192, 95, 95)               6,144      6,144
model.features.2.2.block.0.1                                 (1, 192, 95, 95)                 384        384
model.features.2.2.block.0.2                                 (1, 192, 95, 95)                   0          0
model.features.2.2.block.1.0                                 (1, 192, 95, 95)               1,728      1,728
model.features.2.2.block.1.1                                 (1, 192, 95, 95)                 384        384
model.features.2.2.block.1.2                                 (1, 192, 95, 95)                   0          0
model.features.2.2.block.2.avgpool                           (1, 192, 1, 1)                     0          0
model.features.2.2.block.2.fc1                               (1, 8, 1, 1)                   1,544      1,544
model.features.2.2.block.2.activation                        (1, 8, 1, 1)                       0          0
model.features.2.2.block.2.fc2                               (1, 192, 1, 1)                 1,728      1,728
model.features.2.2.block.2.scale_activation                  (1, 192, 1, 1)                     0          0
model.features.2.2.block.3.0                                 (1, 32, 95, 95)                6,144      6,144
model.features.2.2.block.3.1                                 (1, 32, 95, 95)                   64         64
model.features.2.2.stochastic_depth                          (1, 32, 95, 95)                    0          0
model.features.2.3.block.0.0                                 (1, 192, 95, 95)               6,144      6,144
model.features.2.3.block.0.1                                 (1, 192, 95, 95)                 384        384
model.features.2.3.block.0.2                                 (1, 192, 95, 95)                   0          0
model.features.2.3.block.1.0                                 (1, 192, 95, 95)               1,728      1,728
model.features.2.3.block.1.1                                 (1, 192, 95, 95)                 384        384
model.features.2.3.block.1.2                                 (1, 192, 95, 95)                   0          0
model.features.2.3.block.2.avgpool                           (1, 192, 1, 1)                     0          0
model.features.2.3.block.2.fc1                               (1, 8, 1, 1)                   1,544      1,544
model.features.2.3.block.2.activation                        (1, 8, 1, 1)                       0          0
model.features.2.3.block.2.fc2                               (1, 192, 1, 1)                 1,728      1,728
model.features.2.3.block.2.scale_activation                  (1, 192, 1, 1)                     0          0
model.features.2.3.block.3.0                                 (1, 32, 95, 95)                6,144      6,144
model.features.2.3.block.3.1                                 (1, 32, 95, 95)                   64         64
